sample_id,hour,co2,aerosol,temp,hum,occupant_count,rule_status,output_unc,output_ctrl,unc_status_match,unc_hallucination,unc_action_ok,ctrl_status_match,ctrl_hallucination,ctrl_action_ok
1,2026-04-04 13:00:00,438.1,5.0,24.8,30.5,0,comfortable,"**현재 환경 상태 요약**

현재 실내 환경은 **매우 쾌적하고 깨끗한 최적의 상태**입니다. 공기 질(CO2 및 PM2.5)은 매우 우수하며, 온도 역시 사람이 생활하기에 이상적인 수준입니다. 다만, 습도가 다소 낮은 편입니다.

---

**세부 데이터 해석**

*   **CO2 (438.1ppm):** 매우 우수한 수준입니다. 실내에서 활동할 때 발생하는 이산화탄소 농도가 낮아 환기가 잘 되고 있음을 의미하며, 인지 기능 저하를 유발할 위험이 없습니다.
*   **PM2.5 (5.0μg/m³):** 최고 수준으로 깨끗한 공기입니다. 미세먼지 농도가 매우 낮아 호흡기 건강에 전혀 문제가 없습니다.
*   **온도 (24.8°C):** 매우 쾌적하고 편안하게 느껴지는 실내 온도입니다.
*   **습도 (30.5%):** 권장 습도(40~60%)보다 다소 낮은 편입니다. 건조함이 느껴질 수 있습니다.
*   **재실 인원 (0명):** 현재 공간은 비어 있습니다.

**필요한 행동 지침**

**✅ 현재 (비어있는 상태) 지침:**
*   **유지 관리:** 현재의 안정적인 환경 조건을 유지하는 것이 가장 중요합니다. 불필요한 냉난방 가동을 줄여 에너지 효율을 높이세요.

**✅ 인원이 재실할 경우 지침:**
*   **습도 보충 (권장):** 사람이 장시간 머무를 경우 건조함으로 인해 불편을 느낄 수 있습니다. 가습기를 사용하여 습도를 40~50% 수준으로 조절해 주는 것이 좋습니다.
*   **공기질 관리:** 현재 공기질은 완벽하지만, 재실 인원이 늘어나거나 활동량이 많아지면 CO2 농도가 상승할 수 있습니다. 필요에 따라 주기적인 짧은 환기(5~10분)를 통해 신선한 공기를 공급해 주세요.",3층 왼쪽 교실의 환경 상태는 쾌적합니다.,,,,,,
2,2026-04-04 11:00:00,465.0,5.0,24.5,30.8,0,comfortable,"**✅ 현재 환경 상태 요약**

현재 실내 환경은 매우 쾌적하고 공기질이 우수합니다.

*   **공기질 (CO2, PM2.5):** 최상급입니다. CO2 농도가 매우 낮아 환기가 잘 되고 있으며, 미세먼지(PM2.5) 역시 매우 낮은 수준으로 깨끗합니다.
*   **온도 및 습도:** 온도는 쾌적한 수준(24.5°C)이며, 습도는 다소 건조한 편(30.8%)입니다.
*   **특이 사항:** 현재 실내에 재실 인원이 없어 환경 변수가 거의 없습니다.

**➡️ 필요한 행동 지침**

**1. 공기질 및 환기:**
*   **조치 불필요:** 현재 공기질은 이상적이며, 추가적인 강제 환기 조치는 필요하지 않습니다.
*   **유지:** 장기간 비어 있는 경우, 시스템 점검을 통해 필터 상태를 주기적으로 확인해 주십시오.

**2. 쾌적도 관리 (습도):**
*   **습도 보충 고려:** 습도가 30.8%로 다소 낮은 편이므로, 추후 사람이 재실할 계획이 있다면 가습기 등을 활용하여 적정 습도(40~60%)를 유지하는 것을 고려해 주세요.

**3. 재실 인원 대비:**
*   **재실 시 준비:** 인원이 들어올 경우, CO2 농도가 빠르게 상승할 수 있으므로, 필요에 따라 적절한 환기 시스템을 가동하여 공기질을 유지해 주십시오.",3층 왼쪽 교실은 현재 쾌적한 상태입니다.,,,,,,
3,2026-03-31 09:00:00,570.8,5.0,25.8,35.6,0,comfortable,"**현재 환경 상태 요약**

현재 실내 환경은 매우 양호하며 쾌적한 상태입니다. 공기 질 지표(CO2, PM2.5)가 매우 낮아 실내 공기가 깨끗하며, 온도와 습도 또한 사람이 머무르기에 적절한 범위 내에 있습니다. 현재 재실 인원이 없어 환경이 안정적으로 유지되고 있습니다.

---

**상세 분석**

*   **공기 질 (매우 좋음):**
    *   **CO2 (570.8ppm):** 매우 낮은 수치로, 환기가 충분히 이루어지고 있거나 외부 공기 유입이 원활함을 나타냅니다. (일반적으로 800~1000ppm 이하가 쾌적함)
    *   **PM2.5 (5.0μg/m³):** 매우 낮은 수치로, 미세먼지 오염이 전혀 없는 깨끗한 상태입니다.
*   **쾌적성 (양호):**
    *   **온도 (25.8°C):** 쾌적하게 느껴지는 실내 온도 범위입니다.
    *   **습도 (35.6%):** 약간 건조한 편에 속합니다. (일반적인 쾌적 습도는 40~60%입니다.)

**필요한 행동 지침**

1.  **공기 질 관리:** 현재 공기 질은 최상급이므로, 특별한 공기 정화 조치나 강제 환기는 필요하지 않습니다.
2.  **습도 관리 (권장):** 사람이 실내에 머물 계획이 있다면, 습도가 다소 낮으므로 가습기를 사용하여 습도를 40~50% 수준으로 유지하는 것을 고려해 보세요. (건조함은 호흡기나 피부에 영향을 줄 수 있습니다.)
3.  **시스템 점검:** 재실 인원이 없으므로, 에어컨이나 난방 시스템이 효율적으로 작동하고 있는지 주기적으로 점검하는 것이 좋습니다.

**결론:** 현재는 유지 관리가 필요한 상태이며, 습도 관리에만 유의하시면 됩니다.",3층 왼쪽 교실의 실내 환경이 쾌적하게 유지되고 있습니다.,,,,,,
4,2026-04-04 10:00:00,429.5,5.0,24.7,31.8,0,comfortable,"**현재 환경 상태 설명**

전반적인 실내 환경은 **매우 양호**합니다. 공기질(CO2 및 PM2.5)은 최적 수준이며, 온도 또한 쾌적하게 유지되고 있습니다. 다만, 습도가 다소 낮은 편입니다.

**세부 분석**

*   **공기질 (CO2, PM2.5):** 완벽합니다. CO2 수치(429.5ppm)는 실내 환기가 매우 잘 되고 있거나, 해당 공간에 사람이 없음을 의미하며, PM2.5 수치(5.0μg/m³)는 매우 깨끗한 상태입니다.
*   **온도 및 습도:** 온도는 쾌적한 수준(24.7°C)이지만, 습도(31.8%)는 권장 범위(40~60%)보다 낮아 건조한 상태입니다.
*   **재실 인원:** 현재 공간에는 사람이 없습니다.

**필요한 행동 지침**

1.  **습도 관리 (필수):** 실내 건조함을 해소하고 쾌적함을 유지하기 위해 가습기를 사용하여 습도를 40~50% 수준으로 조절해 주는 것이 좋습니다.
2.  **환기 유지 (권장):** 현재 재실 인원이 없더라도, 실내 공기가 정체되는 것을 방지하고 최적의 공기 순환을 유지하기 위해 주기적인 환기를 지속해 주세요.
3.  **모니터링:** 환경 상태는 안정적이지만, 계절적 변화나 사용 환경 변화에 따라 습도와 온도를 주기적으로 확인하는 것이 좋습니다.",현재 3층 왼쪽 교실은 쾌적한 상태입니다.,,,,,,
5,2026-03-31 10:00:00,659.6,5.0,23.3,38.2,0,comfortable,"**현재 환경 상태 설명**

현재 실내 환경은 매우 쾌적하고 공기 질이 최상급입니다. 모든 주요 지표가 이상적인 수준에 근접하거나 뛰어난 상태를 보이고 있습니다.

*   **공기 질 (Air Quality):** CO2와 PM2.5 수치가 모두 매우 낮아 공기가 깨끗하고 신선합니다.
*   **온도 및 습도 (Climate):** 온도는 사람이 활동하기에 매우 편안한 수준이며, 습도는 약간 낮은 편이지만 큰 문제는 없습니다.
*   **재실 여부:** 현재 공간은 비어 있습니다.

**요약:** 환경 상태는 매우 양호하며, 사람이 활동하기에 최적의 조건입니다.

**필요한 행동 지침**

현재 상태는 매우 좋기 때문에 즉각적인 조치는 필요하지 않습니다. 다만, 공간을 사용할 계획이 있다면 다음과 같은 사항을 참고하시면 됩니다.

1.  **공기 질 관리:** (필요 없음) 현재 공기 질이 매우 좋으므로 환기나 공기청정기 가동을 특별히 할 필요는 없습니다.
2.  **습도 관리:** (선택적 조치) 습도(38.2%)가 약간 낮은 편입니다. 장시간 공간을 사용하거나 쾌적한 상태를 유지하고 싶다면, 가습기를 사용하여 습도를 40%~60% 사이로 유지하는 것을 고려할 수 있습니다.
3.  **에너지 관리:** (공간 비움 시) 현재 재실 인원이 없으므로, 불필요한 전력 소모를 막기 위해 냉난방 및 공기 정화 시스템을 필요에 따라 조절하거나 잠시 멈추는 것이 효율적입니다.",3층 왼쪽 교실의 실내 환경이 쾌적하게 유지되고 있습니다.,,,,,,
6,2026-04-05 21:00:00,362.2,5.0,24.3,28.7,0,normal,"**현재 환경 상태 요약**

현재 실내 환경은 매우 쾌적하고 깨끗한 상태입니다. 모든 주요 지표가 이상적인 수준을 유지하고 있어 실내 공기 질에 대한 우려가 없습니다.

---

**세부 환경 분석**

*   **공기 질 (CO2, PM2.5):**
    *   **CO2 (362.2ppm):** 매우 낮은 수준입니다. 환기가 잘되고 있으며, 실내 공기가 신선함을 의미합니다. (일반적으로 800~1000ppm 이하가 최적입니다.)
    *   **PM2.5 (5.0μg/m³):** 극도로 깨끗한 수준입니다. 미세먼지 걱정 없이 쾌적한 상태입니다.
*   **온도 및 습도:**
    *   **온도 (24.3°C):** 매우 편안하고 적절한 실내 온도입니다.
    *   **습도 (28.7%):** 다소 낮은 편이지만, 현재로서는 큰 문제가 없습니다. 다만, 장기간 유지될 경우 건조함이 느껴질 수 있습니다.
*   **재실 인원:** 현재 공간이 비어 있습니다.

**필요한 행동 지침**

현재 환경 상태는 매우 우수하므로, **당장 필요한 조치는 없습니다.**

**[장기 관리 및 예방 조치]**

1.  **습도 관리 (선택 사항):** 습도가 28.7%로 다소 낮은 편입니다. 만약 이 공간에서 장시간 활동이 이루어진다면, 건조함을 방지하고 호흡기 건강을 유지하기 위해 가습기를 사용하여 습도를 40~60% 범위 내로 유지하는 것을 고려할 수 있습니다.
2.  **정기 점검:** 공기 질 지표가 안정적이지만, 필터 교체 주기 등 환기 시스템의 정기적인 점검을 통해 최상의 상태를 유지하는 것이 좋습니다.",3층 왼쪽 교실의 실내 환경은 현재 보통 상태를 유지하고 있습니다. 쾌적하게 이용해 주십시오.,,,,,,
7,2026-04-07 13:00:00,618.8,5.0,25.8,21.2,0,normal,"**현재 환경 상태 설명**

현재 실내 환경은 전반적으로 매우 쾌적하며, 특히 공기 질이 매우 우수합니다.

*   **공기 질 (매우 우수):** CO2 수치(618.8ppm)와 미세먼지(PM2.5, 5.0μg/m³) 모두 권장 기준치보다 훨씬 낮아 깨끗하고 신선한 상태입니다.
*   **온도:** 25.8°C로 따뜻하고 편안한 실내 온도입니다.
*   **습도 (낮음):** 습도(21.2%)가 매우 낮은 상태입니다.
*   **재실 여부:** 현재 공간은 비어 있습니다.

**필요한 행동 지침**

현재 가장 주의가 필요한 부분은 **습도**입니다.

1.  **습도 조절 (필수):** 습도가 21.2%로 매우 낮아 건조함으로 인한 불편함이나 호흡기 건강에 영향을 줄 수 있습니다. 가습기를 사용하여 습도를 **40% ~ 60%** 범위로 높여주는 것이 좋습니다.
2.  **환기 (선택적):** 공기 질이 좋지만, 장기간 밀폐된 공간이라면 주기적으로 짧게 환기하여 신선한 공기를 순환시키는 것이 좋습니다.
3.  **기타:** 온도와 공기 질은 현재 최적 상태이므로, 별도의 조치 없이 현재 설정을 유지하시면 됩니다.",현재 3층 왼쪽 교실의 환경 상태는 보통입니다.,,,,,,
8,2026-04-05 06:00:00,356.5,5.0,25.4,22.7,0,normal,"**현재 환경 상태 설명**

현재 실내 환경은 **매우 쾌적하고 깨끗한 상태**입니다.

*   **공기질:** CO2와 PM2.5 수치가 모두 매우 낮아 공기질은 최상급입니다.
*   **온도/습도:** 온도는 쾌적한 수준이며, 습도는 다소 낮은 편입니다.
*   **재실 상황:** 현재 공간에 사람이 없어 환경이 안정적으로 유지되고 있습니다.

**필요한 행동 지침**

현재 환경은 전반적으로 양호하므로 즉각적인 조치가 필요하지 않습니다. 다만, 습도 관리를 위해 다음과 같은 점을 참고해 주십시오.

1.  **공기질 관리:** 현재 공기질이 매우 좋으므로, 인공적인 환기보다는 필요에 따라 주기적인 자연 환기를 유지하는 것이 좋습니다.
2.  **습도 관리 (권장):** 습도(22.7%)가 다소 낮은 편입니다. 건조함을 느낀다면 가습기를 사용하거나 적절한 습도(40~60%)를 유지할 수 있도록 관리해 주십시오.
3.  **온도 관리:** 현재 온도는 쾌적하므로, 에너지 절약을 위해 냉난방 설정을 유지하거나 필요에 따라 미세 조정하십시오.",3층 왼쪽 교실의 현재 환경 상태는 보통입니다.,,,,,,
9,2026-04-03 18:00:00,633.9,5.0,25.7,26.6,0,normal,"**현재 환경 상태 요약**

전반적으로 매우 쾌적하고 깨끗한 상태입니다. 실내 공기 질은 양호하며, 온도와 습도 역시 생활에 불편함이 없는 수준입니다.

*   **공기 질 (CO2, PM2.5):** 매우 양호합니다. (PM2.5는 기준치 이하로 매우 깨끗하며, CO2 농도 역시 재실 인원이 없는 상태에서 낮은 수준을 유지하고 있습니다.)
*   **온도 및 습도:** 적정 범위에 속합니다. 다만, 습도는 다소 건조한 편입니다.
*   **특이 사항:** 현재 재실 인원이 없어 실내 공기 오염원(CO2, 미세먼지 등)이 거의 발생하지 않고 있습니다.

**필요한 행동 지침**

1.  **습도 관리 (권장):** 현재 습도(26.6%)가 다소 낮으므로, 실내 쾌적도를 높이기 위해 가습기를 사용하여 습도를 40~60% 사이로 유지하는 것을 권장합니다.
2.  **환기 (선택적):** 현재 공기 질은 좋지만, 장기간 환기가 이루어지지 않았다면 신선한 외부 공기를 유입시키기 위해 짧은 시간 동안 환기를 시켜주는 것이 좋습니다.
3.  **모니터링 (예방):** 향후 인원이 재실할 경우 CO2 농도가 상승할 수 있으므로, 재실 인원 발생 시 CO2 수치 변화를 지속적으로 모니터링하며 필요에 따라 환기 횟수를 늘려주십시오.",3층 왼쪽 교실의 환경 상태는 보통입니다.,,,,,,
10,2026-04-08 23:00:00,432.2,5.0,25.2,22.9,67756,normal,"**현재 환경 상태 분석**

현재 실내 환경은 전반적으로 매우 쾌적하고 우수합니다. 특히 다수의 인원(67,756명)이 존재하는 환경임에도 불구하고 공기질 지표가 매우 양호하게 유지되고 있습니다.

**주요 지표 해석**

*   **공기질 (CO2, PM2.5):** **매우 우수함.** CO2(432.2ppm)는 이상적인 수준이며, PM2.5(5.0μg/m³) 역시 매우 낮은 수준으로, 환기 시스템이 인원수에 비해 최적으로 작동하고 있음을 나타냅니다.
*   **온도 (25.2°C):** **쾌적함.** 대부분의 사람들이 선호하는 최적의 실내 온도 범위에 있습니다.
*   **습도 (22.9%):** **약간 건조함.** 쾌적한 실내 습도(40%~60%)에 비해서는 낮은 편에 속합니다.

---

**필요한 행동 지침**

현재 공기질은 매우 좋으므로 즉각적인 조치는 필요하지 않으나, 인원수가 매우 많고 습도가 낮은 점을 고려하여 다음 조치를 권장합니다.

**1. 습도 조절 (필수)**
*   **조치:** 습도를 40% 이상으로 높이도록 HVAC 시스템 설정을 조정하거나, 실내 가습기를 사용하여 습도를 보충하십시오.
*   **목적:** 낮은 습도는 호흡기 건조, 피부 건조, 집중력 저하 등을 유발할 수 있습니다.

**2. 시스템 모니터링 (지속적)**
*   **조치:** 현재의 우수한 공기질 상태가 유지되는지 주기적으로 모니터링하십시오.
*   **목적:** 인원수가 매우 많기 때문에, 혹시 모를 환기 시스템의 미세한 성능 저하가 공기질에 영향을 미치지 않도록 지속적인 점검이 필요합니다.

**결론:**
공기질과 온도는 최적이지만, 쾌적한 체감 온도를 유지하고 건강을 보호하기 위해 **습도 관리에 집중**하는 것이 가장 중요합니다.",현재 3층 왼쪽 교실의 실내 환경은 보통 상태입니다. 쾌적하게 유지되고 있으니 안심하십시오.,,,,,,
